"requirement_id","category","status","requirement_ar","implementation_trace","test_or_verification","acceptance_or_gap"
"BR-001","Business rule","Implemented","النظام داخلي لشركة CloudTech واحدة؛ لا يوجد tenant أو بوابة عميل.","app/Models/User.php; app/Policies/*; routes/web.php","tests/Feature/Auth/*; tests/Feature/*Authorization*",""
"BR-002","Business rule","Implemented","لا يسمح حساب غير نشط أو مؤرشف بالمصادقة أو بالمرور عبر Policies.","app/Models/User.php; app/Policies/*; routes/web.php","tests/Feature/Auth/*; tests/Feature/*Authorization*",""
"BR-003","Business rule","Implemented","Admin يرى كل المشاريع والعملاء والقوالب، بينما تحدد العضوية/الملكية رؤية الأدوار الأخرى.","app/Models/User.php; app/Policies/*; routes/web.php","tests/Feature/Auth/*; tests/Feature/*Authorization*",""
"BR-004","Business rule","Implemented","إدارة المستخدمين والإعدادات وحالات workflow ومركز البيانات والنسخ محصورة في Admin.","app/Models/User.php; app/Policies/*; routes/web.php","tests/Feature/Auth/*; tests/Feature/*Authorization*",""
"BR-005","Business rule","Implemented","إدارة المشروع تتطلب Admin أو manager_id أو عضوية نشطة بدور manager.","app/Models/User.php; app/Policies/*; routes/web.php","tests/Feature/Auth/*; tests/Feature/*Authorization*",""
"BR-006","Business rule","Implemented","المستخدم المنشئ للمشروع يضاف مديراً في عضوية المشروع إذا لم يكن موجوداً.","app/Models/User.php; app/Policies/*; routes/web.php","tests/Feature/Auth/*; tests/Feature/*Authorization*",""
"BR-007","Business rule","Implemented","عميل المشروع يجب أن يكون نشطاً وغير مؤرشف وقابلاً للإدارة من المستخدم عند الإنشاء/التعديل.","app/Models/Client.php; app/Models/Contact.php; app/Models/Project.php; app/Http/Requests/*","tests/Feature/ClientContactCrudTest.php; tests/Feature/ProjectWorkflowTest.php",""
"BR-008","Business rule","Implemented","جهة الاتصال الأساسية يجب أن تكون نشطة وتتبع العميل نفسه، ولا توجد أكثر من جهة أساسية واحدة فعالة.","app/Models/Client.php; app/Models/Contact.php; app/Models/Project.php; app/Http/Requests/*","tests/Feature/ClientContactCrudTest.php; tests/Feature/ProjectWorkflowTest.php",""
"BR-009","Business rule","Implemented","أكواد العملاء والمشاريع فريدة عالمياً؛ كود المهمة والمتطلب فريد داخل المشروع.","app/Models/Client.php; app/Models/Contact.php; app/Models/Project.php; app/Http/Requests/*","tests/Feature/ClientContactCrudTest.php; tests/Feature/ProjectWorkflowTest.php",""
"BR-010","Business rule","Implemented","الأولويات الموحدة للمشروع والمهمة والمتطلب هي low/medium/high/critical.","app/Models/Task.php; app/Services/TaskService.php; app/Services/ProjectMetrics.php; app/Services/Governance/*","tests/Feature/TaskWorkflowTest.php; tests/Unit/ProjectMetricsTest.php; tests/Feature/GovernanceResourcesTest.php",""
"BR-011","Business rule","Implemented","المهمة لا توجد إنتاجياً دون `start_at` و`due_at`، ويجب ألا تسبق النهاية البداية.","app/Models/Task.php; app/Services/TaskService.php; app/Services/ProjectMetrics.php; app/Services/Governance/*","tests/Feature/TaskWorkflowTest.php; tests/Unit/ProjectMetricsTest.php; tests/Feature/GovernanceResourcesTest.php",""
"BR-012","Business rule","Implemented","المسؤول عن المهمة اختياري، وغيابه يعني `assigned_at = null`.","app/Models/Task.php; app/Services/TaskService.php; app/Services/ProjectMetrics.php; app/Services/Governance/*","tests/Feature/TaskWorkflowTest.php; tests/Unit/ProjectMetricsTest.php; tests/Feature/GovernanceResourcesTest.php",""
"BR-013","Business rule","Implemented","المسؤول ومالك المتطلب/المخاطرة/المشكلة/البند والمنظم والحضور يجب أن يكونوا أعضاء نشطين في المشروع وفق القاعدة الخاصة بكل مورد.","app/Models/Task.php; app/Services/TaskService.php; app/Services/ProjectMetrics.php; app/Services/Governance/*","tests/Feature/TaskWorkflowTest.php; tests/Unit/ProjectMetricsTest.php; tests/Feature/GovernanceResourcesTest.php",""
"BR-014","Business rule","Implemented","تغيير المسؤول يسجل AssignmentEvent بعد الحفظ فقط؛ تغيير واجهة غير محفوظ لا يكتب حدثاً.","app/Models/Task.php; app/Services/TaskService.php; app/Services/ProjectMetrics.php; app/Services/Governance/*","tests/Feature/TaskWorkflowTest.php; tests/Unit/ProjectMetricsTest.php; tests/Feature/GovernanceResourcesTest.php",""
"BR-015","Business rule","Implemented","دلالة حالة `done` هي التي تتحكم في `completed_at` وتدخل في حساب الإنجاز، لا نص label.","app/Models/Task.php; app/Services/TaskService.php; app/Services/ProjectMetrics.php; app/Services/Governance/*","tests/Feature/TaskWorkflowTest.php; tests/Unit/ProjectMetricsTest.php; tests/Feature/GovernanceResourcesTest.php",""
"BR-016","Business rule","Implemented","تقدم المشروع = عدد المهام done ÷ كل المهام غير المؤرشفة وغير cancelled، مقرباً لنسبة صحيحة؛ المشروع بلا مهام = 0%.","app/Models/Task.php; app/Services/TaskService.php; app/Services/ProjectMetrics.php; app/Services/Governance/*","tests/Feature/TaskWorkflowTest.php; tests/Unit/ProjectMetricsTest.php; tests/Feature/GovernanceResourcesTest.php",""
"BR-017","Business rule","Implemented","صحة المشروع danger إذا وجدت مهمة مفتوحة متأخرة أو مخاطرة open درجتها ≥16؛ attention عند عمل مفتوح بلا خطر؛ وإلا healthy.","app/Models/Task.php; app/Services/TaskService.php; app/Services/ProjectMetrics.php; app/Services/Governance/*","tests/Feature/TaskWorkflowTest.php; tests/Unit/ProjectMetricsTest.php; tests/Feature/GovernanceResourcesTest.php",""
"BR-018","Business rule","Implemented","المرحلة التالية هي بند غير اجتماع وغير مؤرشف: in_progress أولاً، وإلا أقرب planned مستقبلي، مع استبعاد completed/cancelled.","app/Models/Task.php; app/Services/TaskService.php; app/Services/ProjectMetrics.php; app/Services/Governance/*","tests/Feature/TaskWorkflowTest.php; tests/Unit/ProjectMetricsTest.php; tests/Feature/GovernanceResourcesTest.php",""
"BR-019","Business rule","Implemented","مخاطرة عالية في اللوحة تعني `probability * impact >= 16` وحالة open.","app/Models/Task.php; app/Services/TaskService.php; app/Services/ProjectMetrics.php; app/Services/Governance/*","tests/Feature/TaskWorkflowTest.php; tests/Unit/ProjectMetricsTest.php; tests/Feature/GovernanceResourcesTest.php",""
"BR-020","Business rule","Implemented","لا تصبح المشكلة resolved أو closed دون نص حل.","app/Models/Task.php; app/Services/TaskService.php; app/Services/ProjectMetrics.php; app/Services/Governance/*","tests/Feature/TaskWorkflowTest.php; tests/Unit/ProjectMetricsTest.php; tests/Feature/GovernanceResourcesTest.php",""
"BR-021","Business rule","Implemented","نهاية الاجتماع إلزامية ويجب أن تكون بعد بدايته، لا مساوية لها.","app/Services/MeetingService.php; app/Services/RequirementBookService.php","tests/Feature/TimelineMeetingWorkflowTest.php; tests/Feature/ProjectDocumentWorkflowTest.php",""
"BR-022","Business rule","Implemented","الاجتماع وبند timeline الخاص به يمثلان سجلاً منطقياً واحداً ويحدثان/يؤرشفان معاً.","app/Services/MeetingService.php; app/Services/RequirementBookService.php","tests/Feature/TimelineMeetingWorkflowTest.php; tests/Feature/ProjectDocumentWorkflowTest.php",""
"BR-023","Business rule","Implemented","يوجد محضر واحد كحد أقصى لكل اجتماع.","app/Services/MeetingService.php; app/Services/RequirementBookService.php","tests/Feature/TimelineMeetingWorkflowTest.php; tests/Feature/ProjectDocumentWorkflowTest.php",""
"BR-024","Business rule","Implemented","توجد كراسة متطلبات واحدة منطقياً لكل مشروع وإصدار حالي واحد غير مؤرشف على الأكثر.","app/Services/MeetingService.php; app/Services/RequirementBookService.php","tests/Feature/TimelineMeetingWorkflowTest.php; tests/Feature/ProjectDocumentWorkflowTest.php",""
"BR-025","Business rule","Implemented","الأرشفة تحفظ تاريخ السجل والملف والروابط، ولا تعني الحذف الفيزيائي.","app/Services/FileService.php; app/Policies/ProjectFilePolicy.php","tests/Feature/*File*; tests/Feature/FileRetentionTest.php",""
"BR-026","Business rule","Implemented","الملف القابل للتنزيل يجب أن يكون `safe` وله رابط نشط في مشروع يراه المستخدم.","app/Services/FileService.php; app/Policies/ProjectFilePolicy.php","tests/Feature/*File*; tests/Feature/FileRetentionTest.php",""
"BR-027","Business rule","Implemented","الملف المرتبط بمهمة/متطلب يجب أن يكون الهدف نشطاً وينتمي إلى المشروع نفسه.","app/Services/FileService.php; app/Policies/ProjectFilePolicy.php","tests/Feature/*File*; tests/Feature/FileRetentionTest.php",""
