"id","category","advantage","evidence","business_value","caveat"
"ADV-001","Localization","واجهة عربية RTL أصلية وليست ترجمة نصية فوق LTR","App shell وSRS واختبارات responsive/accessibility","تبني أسرع وأخطاء اتجاه/مصطلحات أقل لفريق عربي","Redmine وبعض البدائل تدعم العربية؛ التفوق في جودة التخصيص لا في وجود العربية وحدها"
"ADV-002","Product fit","تجربة وهوية CloudTech مخصصة","design tokens والواجهات والدليل","يقل التدريب والضوضاء مقارنة بمنصة عامة","التخصيص يخلق تكلفة صيانة داخلية"
"ADV-003","Unified context","مساحة مشروع تجمع العميل والمتطلبات والمهام والجدول والاجتماعات والمخاطر والمشكلات والملفات والنشاط","Project workspace وProjectController","سياق التسليم في مكان واحد دون شراء عدة إضافات","لا تشمل دورة حياة الكود أو المحادثات"
"ADV-004","Requirements","متطلبات منظمة بمعايير قبول وربط متعدد مع المهام","requirements وrequirement_task","تتبع أفضل من أدوات المهام الخفيفة","لا يوجد trace إلى commit/build/test"
"ADV-005","Specification book","كراسة متطلبات واحدة بإصدارات وملف حالي وتاريخ محفوظ","requirement books/versions","مناسب للعقود والمشاريع مع العملاء","إدارة مراجعة/موافقة تعاونية محدودة"
"ADV-006","Meetings","اجتماعات ومحاضر وقرارات وإجراءات ومرفقات مرتبطة بالمشروع والجدول","timeline/meeting/minutes services","يحفظ قرارات المشروع بجوار التنفيذ","لا تكامل تقويم/فيديو أو تسجيل/تفريغ صوتي"
"ADV-007","Governance","مخاطر ومشكلات وProject health وnext stage أصلية","risks/issues/ProjectMetrics","حوكمة أقوى من issue tracker بسيط","لا RAID portfolio أو scenario planning متقدم"
"ADV-008","Weekly planning","جدول أسبوعي متعدد المشاريع بصف لكل مشروع وأشرطة ممتدة للمهام والاجتماعات","WeeklyScheduleBuilder والواجهة","رؤية تشغيلية مناسبة لمدير شركة خدمات","لا dependencies أو critical path أو baseline"
"ADV-009","Data integrity","optimistic locking ومعاملات وأرشفة بدلاً من حذف","lock_version/services/tests","يقل فقد التعديلات والتاريخ","ليست كل قيود السباق موزعة على عدة عقد"
"ADV-010","Audit","سجل نشاط وأمن وassignment history مع request/correlation IDs","ActivityLogger وSecurityActivitySubscriber","قابلية تحقيق ومساءلة أعلى من MVP عادي","السجل ليس WORM/موقعاً تشفيرياً"
"ADV-011","Security","حسابات داخلية وverified email و2FA وPasskeys وسياسات سجلية","Fortify/policies/tests","قاعدة أمن قوية لنظام داخلي","SSO/SAML/SCIM غير موجودة وغموض Viewer قائم"
"ADV-012","Files","تخزين خاص وروابط مشروع/مهمة/متطلب وchecksums وفحص/حجر وretention","ProjectFileService/scanner/retention","إدارة مرفقات أكثر أماناً وتنظيماً","ماسح malware الفعلي لم يثبت في الإنتاج"
"ADV-013","Recovery","حزمة pdesk مشفرة تشمل SQLite والملفات مع تحقق وrollback آمن لـWAL/SHM","backup services/integration tests","تعافٍ أقوى من كثير من الأدوات الداخلية الصغيرة","لا نسخة off-host أو drill فعلي مثبت"
"ADV-014","Interoperability","استيراد CSV/XLSX ذري وتصدير XLSX/PDF مع تعقيم الصيغ","Data Center services/tests","نقل بيانات وتقارير دون تعديل يدوي خطر","الأنواع والأحجام محدودة والتنفيذ متزامن"
"ADV-015","Notifications","تنبيهات دائمة مشتقة من المهام والاجتماعات مع تفضيلات المستخدم","NotificationCenterService","تركيز على ما يحتاج تدخلاً","لا push/mobile/email/Slack ولا real-time events"
"ADV-016","Search","بحث عام scoped بالصلاحية عبر المشاريع والمهام والعملاء والفريق","GlobalSearchController/tests","وصول سريع مع منع التسريب","LIKE محلي وحد أقصى صغير، لا full-text/federated search"
"ADV-017","Customization","حالات المشروع والمهمة والمتطلب قابلة للتسمية والترتيب واللون والتفعيل","WorkflowStatusService","يلائم سير العمل الداخلي دون تعديل كود لكل تسمية","لا custom fields/types/rules builder عام"
"ADV-018","Invoice templates","قوالب فاتورة غير محاسبية بمعاينة A4 وPDF وهوية الشركة","sales template module","يلبي مستند التسعير البسيط دون تضخيم المنتج إلى ERP","مخطط legacy مخفي يزيد عبء الصيانة"
"ADV-019","Ownership","استضافة ذاتية وكود وبيانات تحت سيطرة الشركة","modular monolith/local deployment","لا اعتماد تشغيلي على اشتراك لكل مقعد أو roadmap بائع","تكلفة التطوير والدعم والأمن تقع على CloudTech"
"ADV-020","Quality discipline","SRS IEEE830 ومصفوفة 327 متطلباً وتوثيق تقني ودليل مستخدم واختبارات واسعة","docs/specification وdocs/technical ونتيجة PHPUnit","قابلية تسليم وهندسة معرفة نادرة في نظام داخلي","تحتاج ربطاً بـGit SHA وتحديث readiness"
"ADV-021","Focused scope","نظام شركة واحدة بسطوح واضحة لا all-in-one ضخم","PRODUCT_SCOPE","وقت تعلم وازدحام أقل","قد يصبح التخصص قيداً عند توسع الشركة أو تعدد العملاء الخارجيين"
