"system","category","best_for","major_strengths","major_limitations","beats_project_desk_on","project_desk_beats_on","recommended_role_for_cloudtech","evidence_refs"
"Jira","إدارة تطوير برمجيات وAgile مؤسسي","المؤسسات التي تحتاج backlog وScrum/Kanban وتخطيطاً متعدد الفرق قابلاً للتخصيص","Backlog وsprints وhierarchy وroadmaps واعتماديات وسعة ووقت؛ workflows وREST API وMarketplace وحوكمة مؤسسية","عبء إعداد وإدارة مرتفع؛ قدرات التخطيط المتقدمة في طبقات أعلى؛ الكود وCI يأتيان عبر تكاملات لا من Jira نفسه","نضج Agile والتبعيات والسعة والوقت والتقارير والأتمتة وAPI والتكامل مع التطوير","العربية وRTL؛ سياق العميل؛ كراسة متطلبات بإصدارات؛ الاجتماعات والمحاضر؛ بساطة التشغيل والسيادة على الكود والبيانات","مرجع — اقتباس الحقول والسير والتبعيات دون نسخ التعقيد أو استبدال Project Desk","S101;S102;S103;S104;S105;S107;S325"
"Azure DevOps","منصة ALM وDevOps مؤسسية","الفرق Microsoft-first التي تريد Boards وRepos وPipelines وTests وArtifacts في منظومة واحدة","Backlogs وsprints وخطط تسليم؛ سعة وإجازات؛ traceability بين work item والكود والبناء والنشر؛ REST وservice hooks وصلاحيات مؤسسية","منظومة ثقيلة ومتعددة الخدمات؛ لا يثبت corpus المعتمد timesheet أصيلاً بعمق YouTrack أو GitLab؛ تجربة الجوال محدودة؛ بعض مسارات AI مشروطة بـGitHub","السعة الفردية وAgile متعدد الفرق والمستودعات وCI/CD والاختبارات وAPI/hooks والأمن المؤسسي","واجهة عربية موحدة وأبسط؛ العميل والمتطلبات والمحاضر والمخاطر والقضايا والملفات والنسخة المشفرة في سياق واحد","مكمّل مشروط — مصدر حقيقة للهندسة إذا كانت CloudTech على Microsoft؛ يبقى Project Desk طبقة العميل والحوكمة","S111;S112;S113;S114;S115;S116;S117;S118;S325"
"GitHub Projects","تخطيط عمل مرتبط بالمستودع","الفرق التي تعمل أصلاً على GitHub وتريد تخطيطاً قليل الاحتكاك حول issues وpull requests وActions","Issues وProjects بطرق عرض وحقول وiterations؛ ارتباط مباشر بالـPR والـchecks؛ أتمتة وREST API وأمن منصة GitHub","أخف في الموارد والوقت والمحافظ وإدارة الخدمات؛ لا يفرض منهجية إدارة مشروع كاملة","قرب التخطيط من الكود والـPR والـActions؛ أتمتة الأحداث وAPI وتعاون المطورين","العربية وRTL؛ كراسة المتطلبات ومحاضر الاجتماعات والمخاطر وسياق العميل والملفات الخاصة والتسليم الإداري","مكمّل — الخيار الأبسط ليكون GitHub مصدر حقيقة الكود وProject Desk مصدر حقيقة العميل والحوكمة","S121;S122;S123;S124;S125;S126;S127;S325"
"GitLab","منصة DevSecOps متكاملة","الفرق التي تريد issue-to-code-to-pipeline-to-release في منتج واحد مع خيار self-managed","تخطيط issues وboards وربط dependencies؛ repositories وmerge requests وCI/CD وأمن وإصدارات؛ API وwebhooks وتكاملات واسعة","تشغيل أوسع وأثقل؛ قدرات hierarchy وportfolio وتحليلات Agile المهمة موزعة على طبقات أعلى؛ ليس نظام عميل ومحاضر ومتطلبات مخصصاً","traceability كاملة للكود والبناء والنشر والأمن؛ API والأتمتة وقابلية التوسع الهندسية","السياق العربي والعميل وكراسة المتطلبات والاجتماعات والمحاضر وقوالب الفواتير غير المحاسبية وبساطة التشغيل الداخلي","مكمّل — المرشح الأقوى لمصدر حقيقة الكود وCI مع روابط وحالة read-only داخل Project Desk","S131;S132;S133;S134;S136;S137;S322;S323;S324;S325"
"Linear","إدارة منتج وهندسة سريعة","فرق المنتج والهندسة التي تفضل cycles وprojects وinitiatives وتجربة استخدام سريعة","UX سريع واختصارات؛ cycles وroadmaps وinitiatives وعلاقات issues؛ تكامل GitHub وwebhooks وAPI وأتمتة حديثة","لا يثبت time logging أصلياً؛ السعة أقرب إلى velocity تاريخية من تخطيط توافر الأفراد؛ حوكمة العميل والتسليم أقل من نطاق Project Desk","سرعة التدفق الهندسي وcycles وinitiatives وربط PR والتحديثات الآلية وAPI","العربية وRTL؛ متطلبات versioned؛ محاضر ومخاطر وملفات وسياق العميل وسيادة الاستضافة","مرجع — محاكاة سرعة التفاعل والاختصارات وتحديث الحالة من PR/MR، لا استبدال طبقة الحوكمة","S141;S142;S143;S144;S145;S146;S147;S149;S150;S325"
"YouTrack","Issue tracking وAgile قابل للاستضافة الذاتية","الفرق التي تريد توازناً بين Agile وGantt والتبعيات والوقت والأتمتة دون منصة DevOps كاملة","Scrum/Kanban وGantt وتبعيات؛ time tracking؛ workflows قابلة للبرمجة؛ REST API وتكاملات VCS/CI وتطبيق جوال وخيار self-host","لا يستضيف repository أو CI بنفسه؛ استراتيجية المحافظ أقل عمقاً من Jira؛ المرونة تتطلب إعداداً وحوكمة","Agile والتبعيات وGantt والوقت وworkflows وAPI وتكاملات التطوير والجوال","تجربة عربية مخصصة؛ سياق العميل؛ كراسة المتطلبات والمحاضر والملفات وقوالب الفواتير؛ تدفق أبسط لشركة واحدة","بديل جزئي — خيار شراء لنظام العمل الهندسي إن كان بناؤه غير مجدٍ، مع إبقاء Project Desk للعميل والحوكمة","S151;S152;S153;S154;S155;S156;S157;S158;S159;S160;S325"
"Shortcut","إدارة تطوير برمجيات خفيفة","فرق البرمجيات التي تريد hierarchy واضحة من Objective إلى Epic إلى Story بدون ثقل Jira","Objectives وEpics وStories وiterations وroadmaps؛ تكاملات كود؛ REST API واعتماديات وذكاء مساعد","resource scheduling والوقت والجوال والمحافظ أقل عمقاً من قادة الفئة؛ دليل الجوال المتاح قديم","backlog وsprints وhierarchy برمجية وتكامل الكود وAPI وتقارير التدفق","العربية وRTL؛ العميل والمتطلبات الرسمية والمحاضر والمخاطر والملفات والسيادة المحلية","مرجع — نموذج مناسب لهرمية برمجية بسيطة داخل Project Desk دون بناء Jira مصغر","S161;S162;S163;S164;S165;S166;S167;S325"
"Asana","إدارة عمل ومحافظ وأهداف","الفرق متعددة الوظائف التي تربط Goals وPortfolios بالمشاريع وتحتاج forms وrules وworkload","Goals وPortfolios؛ Forms وRules؛ Workload وCapacity؛ تعاون خارجي وتكاملات كثيرة وأمن مؤسسي","القدرات الحاسمة موزعة على خطط أعلى وإضافات؛ المستندات أقل عمقاً من أدوات المعرفة؛ لا تثبت الأدلة المستخدمة واجهة عربية أصلية","الأهداف والمحافظ والسعة والنماذج والأتمتة والتعاون الخارجي والتكاملات والجوال والحوكمة المؤسسية","العربية وRTL؛ كراسة المتطلبات بإصدارات؛ المحاضر والحضور والمخاطر والقضايا؛ الاستضافة والكود المملوكان","مرجع — اقتباس Goals وPortfolio rollups وForms تدريجياً؛ ليس بديلاً عن المجال المحلي","S201;S202;S203;S204;S205;S012;S325"
"monday.com","منصة عمل no-code قابلة للتشكيل","المنظمات التي تريد بناء عملياتها بلوحات ونماذج وأتمتة وdashboards دون برمجة كبيرة","WorkForms وboards وworkdocs وdashboards؛ workload وtime؛ automation وAI وAPI وتكاملات واسعة","المرونة الشديدة تحتاج governance وقوالب؛ portfolio/resource في طبقات أعلى؛ quotas وAI credits ونطاقات المقاعد تعقد الكلفة","التخصيص الذاتي والنماذج والأتمتة والمحافظ والموارد والوقت والتكاملات وبناء التطبيقات","نموذج مجال عربي جاهز ومتسق؛ كراسة متطلبات ومحاضر ومخاطر وملفات؛ سيطرة بلا quotas أو تشظي لوحات","مرجع — اقتباس Forms وrule builder محدودين مع نماذج محكومة، لا التحول إلى منصة no-code عامة","S206;S207;S208;S209;S210;S012;S325"
"ClickUp","إدارة عمل all-in-one","الفرق التي تريد جمع tasks وsprints وdocs وchat وgoals وtime في منصة واحدة","اتساع وظيفي كبير؛ docs وchat وwhiteboards؛ goals وsprints وforms وtime وresources وguests؛ تكاملات وAI","الكثافة الوظيفية ترفع كلفة التعلم والتهيئة؛ AI والمؤسسة لهما كلفة منفصلة؛ نموذج الميزانية أقل عمقاً من PPM المتخصص","التعاون والمستندات والأهداف وsprints والنماذج والأتمتة والوقت والموارد والضيوف والجوال وAPI والتكاملات","بساطة RTL عربية؛ حوكمة متطلبات ومحاضر ومخاطر وقضايا جاهزة؛ تشغيل داخلي محدود النطاق","مرجع — بنك أفكار للتعاون وMy Work والوقت، مع رفض نسخ اتساع all-in-one","S211;S212;S213;S214;S215;S325"
