"id","category","capability_or_problem","current_state","benchmarks","classification","severity","impact","recommendation","phase"
"GAP-A01","Authorization","تعارض global Viewer مع project manager","قد تمنح بعض Policies صلاحية كتابة للمشاهد إذا أصبح مدير مشروع","Jira; Azure DevOps; GitLab","عيب فعلي","حرج قبل الإنتاج","خرق عقد القراءة فقط واحتمال تعديل غير مقصود","احسم أولوية الدور العام وأضف permission matrix سلبية","الآن"
"GAP-A02","Calendar","إعداد بداية الأسبوع والعطلة لا يحكم الجدول الأسبوعي","يُحفظ لكن builder ثابت الأحد/الجمعة-السبت","ClickUp; Linear; Microsoft Planner","عيب اتساق","عال","المستخدم يثق بإعداد لا يطبق","مصدر تقويم واحد أو إزالة الإعداد غير المدعوم","الآن"
"GAP-A03","Timezone","مصدران للحقيقة الزمنية","general.timezone وBUSINESS_TIMEZONE","Linear; Jira; Azure DevOps","عيب اتساق","عال","انزياح حدود الأسبوع والتنبيهات والتقارير","وحّد المصدر واختبر midnight/boundaries","الآن"
"GAP-A04","Release","لا commit SHA baseline ووثيقة readiness متأخرة","الاختبارات خضراء على worktree متغير","GitHub; GitLab; Azure DevOps","بوابة إصدار","عال","لا يمكن إثبات ما الذي اختُبر ونُشر","هيئ Git وثبت SHA وشغّل كل البوابات وحدث الوثائق","الآن"
"GAP-A05","File security","ماسح malware الإنتاجي غير مثبت","العقد fail-closed والاختبارات موجودة فقط","OpenProject enterprise; GitLab security controls","بوابة إنتاج","حرج","ملف غير موثوق قد لا يخضع لفحص حقيقي","اربط ماسحاً فعلياً واختبر clean/EICAR/outage وراقبه","الآن"
"GAP-A06","Recovery","لا off-host immutable copy ولا restore drill مقاس","النسخ المحلية المشفرة قوية","GitLab self-managed; Azure DevOps service operations","بوابة إنتاج","حرج","فقد الخادم أو المفتاح قد يفقد كل البيانات","نسخ خارج المضيف وتمرين شهري وقياس RPO/RTO","الآن"
"GAP-A07","Operations","TLS/secrets/scheduler/monitoring/log rotation غير مثبتة إنتاجياً","موثقة كمتطلبات نشر","All mature SaaS/self-hosted ops","بوابة إنتاج","حرج","تعطل أو اختراق بلا كشف سريع","staging checklist وأدلة منقحة ومراقبة 24/7 مناسبة","الآن"
"GAP-A08","Accessibility","لا إثبات قارئ شاشة وzoom 200% كامل","اختبارات آلية قوية فقط","Asana; Microsoft 365; Jira enterprise expectations","بوابة جودة","عال","حواجز لمستخدمين ذوي إعاقة ومخاطر امتثال","اختبار NVDA/JAWS و200% وWCAG 2.2 AA","الآن"
"GAP-A09","Performance/UX","لا INP/search/SUS أو pilot فعلي","أهداف موثقة واختبارات حجم جزئية","Linear; Jira; Asana","بوابة جودة","متوسط-عال","قد تظهر مشاكل تبنٍ وأداء على بيانات حقيقية","pilot 8-12 مستخدماً ومشروعين وقياس p75/p95/SUS","الآن"
"GAP-A10","Scalability","SQLite/local storage وخادم واحد فقط","تصميم v1 مقصود","GitLab; Jira Data Center/Cloud; Azure DevOps","قيد معماري","عال عند النمو","سقف التزامن وHA والتوسع","ابقه الآن مع حدود واضحة وصمم migration عند تحقق مؤشرات النمو","لاحقاً"
"GAP-A11","Async processing","الاستيراد والتصدير وPDF متزامنة","محدودة بالأحجام الموثقة","Asana; ClickUp; enterprise platforms","نقص تشغيلي","متوسط","timeouts وتجربة سيئة للملفات الكبيرة","Jobs ذات progress/retry/idempotency عند الحاجة الفعلية","التالي"
"GAP-A12","Search","LIKE محلي وخمس نتائج لكل نوع","لا full-text أو ranking/federated search","Linear; ClickUp Connected Search; Jira JQL","نقص تنافسي","متوسط","صعوبة الوصول مع نمو البيانات","FTS/search index ونتائج أكثر مع صلاحيات وفلاتر","لاحقاً"
