dimension,score_0_to_5,global_delivery_weight,cloudtech_fit_weight,evidence_and_interpretation
"العربية وملاءمة السياق المحلي",5,2,15,"واجهة عربية RTL أصلية وهوية ومصطلحات CloudTech؛ ليست مجرد ترجمة"
"حوكمة المشروع والعميل والمتطلبات والوثائق",5,6,15,"عملاء ومتطلبات وكراسة بإصدارات واجتماعات ومحاضر ومخاطر وملفات مترابطة"
"دورة حياة التطوير",0.5,18,9,"لا repository أو branch أو PR/MR أو build/test/deploy/release traceability"
"Agile وإدارة backlog",2,12,6,"قائمة وكانبان وحالات؛ لا epic/story/sprint/cycle/velocity أصيلة"
"الجدولة والاعتماديات",3,10,8,"بداية ونهاية وجدول أسبوعي وtimeline؛ لا dependencies أو critical path أو baseline"
"التعاون والمعرفة والموافقات",2.5,8,6,"اجتماعات ومحاضر ونشاط وتنبيهات؛ لا comments/mentions/wiki/proofing عام"
"الوقت والموارد والسعة",1.5,7,4,"مؤشرات حمل مشتقة فقط؛ لا estimates/time logs/timesheets/capacity calendars"
"المحافظ والتقارير",3.5,8,6,"لوحة متعددة المشاريع وصحة وأولوية ومرحلة قادمة؛ لا programs/goals/scenario planning"
"التخصيص والأتمتة والقوالب",2.5,10,5,"حالات وإعدادات وقوالب محددة؛ لا custom fields أو rules/forms builder"
"التكاملات وAPI",1,10,4,"استيراد وتصدير وPDF؛ لا public API أو webhooks أو connectors"
"الأمن والصلاحيات والتدقيق",4,4,8,"Policies و2FA/Passkeys وتدقيق وقفل تفاؤلي؛ أدلة الإنتاج الخارجية ما زالت بوابة"
"السيادة والاستضافة والتعافي",4.5,2,9,"ملكية كاملة وحزمة pdesk مشفرة واستعادة دفاعية؛ خادم واحد وoff-host drill غير مثبت"
"تجربة الاستخدام والسرعة والوصولية",4.2,3,5,"واجهة هادئة responsive وkeyboard/RTL؛ لا pilot أو قارئ شاشة/INP إنتاجي مثبت"
"النتيجة الموزونة: نضج التسليم العالمي",46.8,100,,"تقدير تحليلي اتجاهي لا benchmark أداء ولا تقييم شراء"
"النتيجة الموزونة: ملاءمة CloudTech",68.5,,100,"تقدير تحليلي اتجاهي يرفع وزن العربية والحوكمة والسيادة"
